rank,selected_min_distance,low_mid_mass_threshold,mid_high_mass_threshold,low_opening,mid_opening,high_opening,low_estimated_mass,mid_estimated_mass,high_estimated_mass,low_role_score,mid_role_score,high_role_score,spacing_score,balance_score,min_distance_bonus,total_score
1782,2,3353.1562693889473,5314.827050173339,32,33,43,3565.9087609536355,3674.525990350825,4775.163362258878,0.2765457768488848,0.506589391518617,0.2390227529225463,0.4230769230769231,0.18181818181818177,1.0,1.0932768024089294
1783,1,3353.1562693889473,5314.827050173339,27,33,34,3032.2166400267965,3674.525990350825,3783.143219748014,0.4797041795874346,0.506589391518617,0.06053673923124997,0.25,0.2857142857142857,0.5,1.0932588817658728
1784,1,3353.1562693889473,5314.827050173339,22,27,28,2506.028719488826,3032.2166400267965,3137.7025274042826,0.775016296083318,0.21246514895203275,0.06,0.21428571428571427,0.33333333333333337,0.5,1.0929576355115411
1785,1,3353.1562693889473,5314.827050173339,34,36,39,3783.143219748014,4002.2049711151362,4333.538537024931,0.22312618117070995,0.6770383051533214,0.1306266748565389,0.17857142857142858,0.8,0.5,1.0920768754662844
1786,1,3353.1562693889473,5314.827050173339,23,28,34,2611.1007680831576,3137.7025274042826,3783.143219748014,0.7160699783280289,0.23247866193756336,0.06053673923124997,0.39285714285714285,0.9090909090909091,0.5,1.0918775872890498
1787,1,3353.1562693889473,5314.827050173339,23,29,33,2611.1007680831576,3243.1884147817696,3674.525990350825,0.7160699783280289,0.2224921749230939,0.07660360219013457,0.35714285714285715,0.8,0.5,1.0907371840126858
1788,1,3353.1562693889473,5314.827050173339,39,44,47,4333.538537024931,4885.556796680216,5214.135230782047,0.16311077662995666,0.5425946765571791,0.31692522730577444,0.2857142857142857,0.75,0.5,1.090487823350053
1789,1,3353.1562693889473,5314.827050173339,26,31,41,2926.7307526493096,3457.2915315564455,4554.376493416202,0.5089407612024421,0.3269418071689211,0.16985618493146473,0.5357142857142857,0.6666666666666667,0.5,1.0902625628266374
1790,1,3353.1562693889473,5314.827050173339,33,34,44,3674.525990350825,3783.143219748014,4885.556796680216,0.2648359790097974,0.5430330968301214,0.22860603691808704,0.39285714285714285,0.18181818181818177,0.5,1.0901764114593044
1791,1,3353.1562693889473,5314.827050173339,22,26,33,2506.028719488826,2926.7307526493096,3674.525990350825,0.775016296083318,0.16245163596650222,0.07660360219013457,0.39285714285714285,0.7272727272727273,0.5,1.0895910147594352
1792,1,3353.1562693889473,5314.827050173339,24,31,33,2716.1728166774906,3457.2915315564455,3674.525990350825,0.6271236605727392,0.3269418071689211,0.07660360219013457,0.32142857142857145,0.4444444444444444,0.5,1.0891611334238582
1793,1,3353.1562693889473,5314.827050173339,26,28,46,2926.7307526493096,3137.7025274042826,5105.042730941801,0.5089407612024421,0.23247866193756336,0.26755727410970115,0.7142857142857143,0.19999999999999996,0.5,1.0891195543925638
1794,1,3353.1562693889473,5314.827050173339,31,34,42,3457.2915315564455,3783.143219748014,4664.769927837539,0.25825557468797233,0.5430330968301214,0.21943946892700547,0.39285714285714285,0.5454545454545454,0.5,1.0889748936918522
1795,1,3353.1562693889473,5314.827050173339,21,24,36,2400.9566708944935,2716.1728166774906,4002.2049711151362,0.8039626138386076,0.1224379647206504,0.08850907591840888,0.5357142857142857,0.4,0.5,1.0887667973348096
1796,1,3353.1562693889473,5314.827050173339,29,34,39,3243.1884147817696,3783.143219748014,4333.538537024931,0.3312310163574198,0.5430330968301214,0.1306266748565389,0.35714285714285715,1.0,0.5,1.0884622166155085
1797,1,3353.1562693889473,5314.827050173339,28,29,49,3137.7025274042826,3243.1884147817696,5432.320230462541,0.4204675979724275,0.2224921749230939,0.3659096107974703,0.75,0.09523809523809523,0.5,1.0876789075025155
1798,1,3353.1562693889473,5314.827050173339,23,28,32,2611.1007680831576,3137.7025274042826,3565.9087609536355,0.7160699783280289,0.23247866193756336,0.06267046514901907,0.32142857142857145,0.8888888888888888,0.5,1.0874889466844526
1799,1,3353.1562693889473,5314.827050173339,24,27,41,2716.1728166774906,3032.2166400267965,4554.376493416202,0.6271236605727392,0.21246514895203275,0.16985618493146473,0.6071428571428571,0.3529411764705882,0.5,1.0871340700864887
1800,1,3353.1562693889473,5314.827050173339,32,47,49,3565.9087609536355,5214.135230782047,5432.320230462541,0.2765457768488848,0.3715955462318883,0.3659096107974703,0.6071428571428571,0.23529411764705888,0.5,1.0870341271555541
1801,2,3353.1562693889473,5314.827050173339,28,32,37,3137.7025274042826,3565.9087609536355,4112.649493085068,0.4204675979724275,0.4401456862071123,0.13254827556445223,0.34615384615384615,0.8888888888888888,1.0,1.0864094229918553
1802,1,3353.1562693889473,5314.827050173339,22,29,31,2506.028719488826,3243.1884147817696,3457.2915315564455,0.775016296083318,0.2224921749230939,0.03,0.32142857142857145,0.4444444444444444,0.5,1.0860005344984753
1803,1,3353.1562693889473,5314.827050173339,37,44,46,4112.649493085068,4885.556796680216,5105.042730941801,0.21726357998078957,0.5425946765571791,0.26755727410970115,0.32142857142857145,0.4444444444444444,0.5,1.0859075941397331
1804,1,3353.1562693889473,5314.827050173339,23,26,39,2611.1007680831576,2926.7307526493096,4333.538537024931,0.7160699783280289,0.16245163596650222,0.1306266748565389,0.5714285714285714,0.375,0.5,1.0848625748653555
1805,1,3353.1562693889473,5314.827050173339,27,32,36,3032.2166400267965,3565.9087609536355,4002.2049711151362,0.4797041795874346,0.4401456862071123,0.08850907591840888,0.32142857142857145,0.8888888888888888,0.5,1.084628782982797
1806,2,3353.1562693889473,5314.827050173339,23,27,32,2611.1007680831576,3032.2166400267965,3565.9087609536355,0.7160699783280289,0.21246514895203275,0.06267046514901907,0.34615384615384615,0.8888888888888888,1.0,1.084453455676944
1807,1,3353.1562693889473,5314.827050173339,24,26,42,2716.1728166774906,2926.7307526493096,4664.769927837539,0.6271236605727392,0.16245163596650222,0.21943946892700547,0.6428571428571429,0.2222222222222222,0.5,1.0843322257837071
