rank,low_opening,mid_opening,high_opening,selected_min_distance,low_estimated_mass,mid_estimated_mass,high_estimated_mass,low_role_score,mid_role_score,high_role_score,spacing_score,balance_score,distance_bonus,total_score
47,20,40,50,2,2295.884622300161,4443.983058994864,5541.412730302787,0.8286447201711097,0.7827156827998993,0.38916986381603175,1.0,0.6666666666666667,0.06666666666666667,2.1091969334537075
48,20,37,50,2,2295.884622300161,4112.649493085068,5541.412730302787,0.8286447201711097,0.7745998081650158,0.38916986381603175,1.0,0.8666666666666667,0.06666666666666667,2.109081058818824
49,20,40,50,1,2295.884622300161,4443.983058994864,5541.412730302787,0.8286447201711097,0.7827156827998993,0.38916986381603175,1.0,0.6666666666666667,0.03333333333333333,2.1081969334537076
50,20,37,50,1,2295.884622300161,4112.649493085068,5541.412730302787,0.8286447201711097,0.7745998081650158,0.38916986381603175,1.0,0.8666666666666667,0.03333333333333333,2.108081058818824
51,21,39,47,1,2400.9566708944935,4333.538537024931,5214.135230782047,0.8039626138386076,0.8797228141884053,0.31692522730577444,0.8666666666666667,0.6153846153846154,0.03333333333333333,2.095559373281505
52,22,39,48,1,2506.028719488826,4333.538537024931,5323.227730622294,0.775016296083318,0.8797228141884053,0.33917091854449977,0.8666666666666667,0.6923076923076923,0.03333333333333333,2.091935669841864
53,23,39,50,1,2611.1007680831576,4333.538537024931,5541.412730302787,0.7160699783280289,0.8797228141884053,0.38916986381603175,0.9,0.8148148148148149,0.03333333333333333,2.090555248925058
54,22,38,49,1,2506.028719488826,4223.094015055,5432.320230462541,0.775016296083318,0.842161311176711,0.3659096107974703,0.9,0.8148148148148149,0.03333333333333333,2.088679810650092
55,20,38,47,2,2295.884622300161,4223.094015055,5214.135230782047,0.8286447201711097,0.842161311176711,0.31692522730577444,0.9,0.6666666666666667,0.06666666666666667,2.088397925320262
56,21,38,48,1,2400.9566708944935,4223.094015055,5323.227730622294,0.8039626138386076,0.842161311176711,0.33917091854449977,0.9,0.7407407407407407,0.03333333333333333,2.0879244731894477
57,20,38,47,1,2295.884622300161,4223.094015055,5214.135230782047,0.8286447201711097,0.842161311176711,0.31692522730577444,0.9,0.6666666666666667,0.03333333333333333,2.087397925320262
58,21,37,50,1,2400.9566708944935,4112.649493085068,5541.412730302787,0.8039626138386076,0.7745998081650158,0.38916986381603175,0.9666666666666667,0.896551724137931,0.03333333333333333,2.0819276881185056
59,21,40,50,1,2400.9566708944935,4443.983058994864,5541.412730302787,0.8039626138386076,0.7827156827998993,0.38916986381603175,0.9666666666666667,0.6896551724137931,0.03333333333333333,2.0817677006844235
60,20,37,49,1,2295.884622300161,4112.649493085068,5432.320230462541,0.8286447201711097,0.7745998081650158,0.3659096107974703,0.9666666666666667,0.8275862068965517,0.03333333333333333,2.080590920742791
61,20,40,49,1,2295.884622300161,4443.983058994864,5432.320230462541,0.8286447201711097,0.7827156827998993,0.3659096107974703,0.9666666666666667,0.6206896551724138,0.03333333333333333,2.0804309333087088
62,20,41,50,1,2295.884622300161,4554.376493416202,5541.412730302787,0.8286447201711097,0.7451854312392195,0.38916986381603175,1.0,0.6,0.03333333333333333,2.0680000152263607
63,20,39,46,1,2295.884622300161,4333.538537024931,5105.042730941801,0.8286447201711097,0.8797228141884053,0.26755727410970115,0.8666666666666667,0.5384615384615384,0.03333333333333333,2.067796603341011
64,22,39,47,1,2506.028719488826,4333.538537024931,5214.135230782047,0.775016296083318,0.8797228141884053,0.31692522730577444,0.8333333333333334,0.64,0.03333333333333333,2.064931004244164
65,23,39,49,1,2611.1007680831576,4333.538537024931,5432.320230462541,0.7160699783280289,0.8797228141884053,0.3659096107974703,0.8666666666666667,0.7692307692307692,0.03333333333333333,2.062804967416468
66,21,38,47,1,2400.9566708944935,4223.094015055,5214.135230782047,0.8039626138386076,0.842161311176711,0.31692522730577444,0.8666666666666667,0.6923076923076923,0.03333333333333333,2.0610747933467337
67,22,38,48,2,2506.028719488826,4223.094015055,5323.227730622294,0.775016296083318,0.842161311176711,0.33917091854449977,0.8666666666666667,0.7692307692307692,0.06666666666666667,2.0584510899070927
68,22,38,48,1,2506.028719488826,4223.094015055,5323.227730622294,0.775016296083318,0.842161311176711,0.33917091854449977,0.8666666666666667,0.7692307692307692,0.03333333333333333,2.057451089907093
69,23,38,50,2,2611.1007680831576,4223.094015055,5541.412730302787,0.7160699783280289,0.842161311176711,0.38916986381603175,0.9,0.8888888888888888,0.06666666666666667,2.0569567088763265
70,23,38,50,1,2611.1007680831576,4223.094015055,5541.412730302787,0.7160699783280289,0.842161311176711,0.38916986381603175,0.9,0.8888888888888888,0.03333333333333333,2.0559567088763266
71,21,37,49,1,2400.9566708944935,4112.649493085068,5432.320230462541,0.8039626138386076,0.7745998081650158,0.3659096107974703,0.9333333333333333,0.8571428571428572,0.03333333333333333,2.0544244137534746
72,21,40,49,1,2400.9566708944935,4443.983058994864,5432.320230462541,0.8039626138386076,0.7827156827998993,0.3659096107974703,0.9333333333333333,0.6428571428571428,0.03333333333333333,2.05396885981693
73,22,37,50,2,2506.028719488826,4112.649493085068,5541.412730302787,0.775016296083318,0.7745998081650158,0.38916986381603175,0.9333333333333333,0.9285714285714286,0.06666666666666667,2.0525954918738893
74,22,40,50,2,2506.028719488826,4443.983058994864,5541.412730302787,0.775016296083318,0.7827156827998993,0.38916986381603175,0.9333333333333333,0.7142857142857143,0.06666666666666667,2.052139937937344
75,22,37,50,1,2506.028719488826,4112.649493085068,5541.412730302787,0.775016296083318,0.7745998081650158,0.38916986381603175,0.9333333333333333,0.9285714285714286,0.03333333333333333,2.0515954918738895
76,22,40,50,1,2506.028719488826,4443.983058994864,5541.412730302787,0.775016296083318,0.7827156827998993,0.38916986381603175,0.9333333333333333,0.7142857142857143,0.03333333333333333,2.0511399379373443
77,20,37,48,2,2295.884622300161,4112.649493085068,5323.227730622294,0.8286447201711097,0.7745998081650158,0.33917091854449977,0.9333333333333333,0.7857142857142857,0.06666666666666667,2.0505106849758636
78,20,40,48,2,2295.884622300161,4443.983058994864,5323.227730622294,0.8286447201711097,0.7827156827998993,0.33917091854449977,0.9333333333333333,0.5714285714285714,0.06666666666666667,2.050055131039318
79,20,37,48,1,2295.884622300161,4112.649493085068,5323.227730622294,0.8286447201711097,0.7745998081650158,0.33917091854449977,0.9333333333333333,0.7857142857142857,0.03333333333333333,2.0495106849758638
80,20,40,48,1,2295.884622300161,4443.983058994864,5323.227730622294,0.8286447201711097,0.7827156827998993,0.33917091854449977,0.9333333333333333,0.5714285714285714,0.03333333333333333,2.049055131039318
81,21,41,50,1,2400.9566708944935,4554.376493416202,5541.412730302787,0.8039626138386076,0.7451854312392195,0.38916986381603175,0.9666666666666667,0.6206896551724138,0.03333333333333333,2.0414788284340886
82,21,39,46,1,2400.9566708944935,4333.538537024931,5105.042730941801,0.8039626138386076,0.8797228141884053,0.26755727410970115,0.8333333333333334,0.56,0.03333333333333333,2.0413093688033808
83,20,41,49,1,2295.884622300161,4554.376493416202,5432.320230462541,0.8286447201711097,0.7451854312392195,0.3659096107974703,0.9666666666666667,0.5517241379310345,0.03333333333333333,2.040142061058374
84,20,38,46,1,2295.884622300161,4223.094015055,5105.042730941801,0.8286447201711097,0.842161311176711,0.26755727410970115,0.8666666666666667,0.6153846153846154,0.03333333333333333,2.0333120234062396
85,22,38,47,2,2506.028719488826,4223.094015055,5214.135230782047,0.775016296083318,0.842161311176711,0.31692522730577444,0.8333333333333334,0.72,0.06666666666666667,2.03156950123247
86,23,39,48,1,2611.1007680831576,4333.538537024931,5323.227730622294,0.7160699783280289,0.8797228141884053,0.33917091854449977,0.8333333333333334,0.72,0.03333333333333333,2.0314303777276006
87,22,38,47,1,2506.028719488826,4223.094015055,5214.135230782047,0.775016296083318,0.842161311176711,0.31692522730577444,0.8333333333333334,0.72,0.03333333333333333,2.03056950123247
88,20,42,50,2,2295.884622300161,4664.769927837539,5541.412730302787,0.8286447201711097,0.7076551796785397,0.38916986381603175,1.0,0.5333333333333333,0.06666666666666667,2.028803096999014
89,23,38,49,1,2611.1007680831576,4223.094015055,5432.320230462541,0.7160699783280289,0.842161311176711,0.3659096107974703,0.8666666666666667,0.8461538461538461,0.03333333333333333,2.028320387481697
90,20,42,50,1,2295.884622300161,4664.769927837539,5541.412730302787,0.8286447201711097,0.7076551796785397,0.38916986381603175,1.0,0.5333333333333333,0.03333333333333333,2.027803096999014
91,22,37,49,1,2506.028719488826,4112.649493085068,5432.320230462541,0.775016296083318,0.7745998081650158,0.3659096107974703,0.9,0.8888888888888888,0.03333333333333333,2.0240812706013593
92,20,37,47,2,2295.884622300161,4112.649493085068,5214.135230782047,0.8286447201711097,0.7745998081650158,0.31692522730577444,0.9,0.7407407407407407,0.06666666666666667,2.0237993852715297
93,20,39,43,1,2295.884622300161,4333.538537024931,4775.163362258878,0.8286447201711097,0.8797228141884053,0.2390227529225463,0.7666666666666667,0.34782608695652173,0.03333333333333333,2.0236366640936554
94,21,37,48,1,2400.9566708944935,4112.649493085068,5323.227730622294,0.8039626138386076,0.7745998081650158,0.33917091854449977,0.9,0.8148148148148149,0.03333333333333333,2.0233259331407156
95,22,40,49,1,2506.028719488826,4443.983058994864,5432.320230462541,0.775016296083318,0.7827156827998993,0.3659096107974703,0.9,0.6666666666666667,0.03333333333333333,2.0233082563473546
96,20,40,47,2,2295.884622300161,4443.983058994864,5214.135230782047,0.8286447201711097,0.7827156827998993,0.31692522730577444,0.9,0.5185185185185186,0.06666666666666667,2.023026371017524
