rank,low_opening,mid_opening,high_opening,selected_min_distance,low_estimated_mass,mid_estimated_mass,high_estimated_mass,low_role_score,mid_role_score,high_role_score,spacing_score,balance_score,distance_bonus,total_score
88,25,37,50,2,2821.244865271823,4111.267217550765,5541.412730302787,0.6435210141735228,0.933459971919081,0.857573640139716,0.8333333333333334,0.96,0.06666666666666667,0.9003391989214068
89,28,38,49,1,3136.914871145759,4222.259753869907,5432.83889423099,0.7289464774619836,0.9644661408000322,0.8755860796762995,0.7,0.9523809523809523,0.03333333333333333,0.899075544417882
90,26,37,50,1,2926.3686265388747,4111.267217550765,5541.412730302787,0.7377663186313111,0.8963313865844056,0.8987118034412203,0.8,0.9166666666666666,0.03333333333333333,0.8985394373720802
91,20,39,50,1,2295.884622300161,4333.347705801011,5541.412730302787,0.830105211287874,0.8916378493676318,0.8987118034412203,1.0,0.7333333333333334,0.03333333333333333,0.8984097731139417
92,26,39,50,1,2926.3686265388747,4333.347705801011,5541.412730302787,0.7377663186313111,0.8916378493676318,0.8987118034412203,0.8,0.9166666666666666,0.03333333333333333,0.8973567631201401
93,28,38,48,1,3136.914871145759,4222.259753869907,5324.003161178989,0.7289464774619836,0.9644661408000322,0.847004652094475,0.6666666666666666,1.0,0.03333333333333333,0.8968650904179961
94,27,38,48,1,3031.551217314709,4222.259753869907,5324.003161178989,0.7778259454225418,0.9644661408000322,0.847004652094475,0.7,0.9523809523809523,0.03333333333333333,0.8967984391059853
95,20,40,50,30,2295.884622300161,4443.983058994864,5541.412730302787,1.000000000001,1.000000000001,1.000000000001,1.0,0.6666666666666667,1.0,0.8966418858198301
96,20,40,50,29,2295.884622300161,4443.983058994864,5541.412730302787,1.000000000001,1.000000000001,1.000000000001,1.0,0.6666666666666667,0.9666666666666667,0.8966418858198301
97,20,40,50,28,2295.884622300161,4443.983058994864,5541.412730302787,1.000000000001,1.000000000001,1.000000000001,1.0,0.6666666666666667,0.9333333333333333,0.8966418858198301
98,20,40,50,27,2295.884622300161,4443.983058994864,5541.412730302787,1.000000000001,1.000000000001,1.000000000001,1.0,0.6666666666666667,0.9,0.8966418858198301
99,20,40,50,26,2295.884622300161,4443.983058994864,5541.412730302787,1.000000000001,1.000000000001,1.000000000001,1.0,0.6666666666666667,0.8666666666666667,0.8966418858198301
100,20,40,50,25,2295.884622300161,4443.983058994864,5541.412730302787,1.000000000001,1.000000000001,1.000000000001,1.0,0.6666666666666667,0.8333333333333334,0.8966418858198301
101,20,40,50,24,2295.884622300161,4443.983058994864,5541.412730302787,1.000000000001,1.000000000001,1.000000000001,1.0,0.6666666666666667,0.8,0.8966418858198301
102,20,40,50,23,2295.884622300161,4443.983058994864,5541.412730302787,1.000000000001,1.000000000001,1.000000000001,1.0,0.6666666666666667,0.7666666666666667,0.8966418858198301
103,20,40,50,22,2295.884622300161,4443.983058994864,5541.412730302787,1.000000000001,1.000000000001,1.000000000001,1.0,0.6666666666666667,0.7333333333333333,0.8966418858198301
104,20,40,50,21,2295.884622300161,4443.983058994864,5541.412730302787,1.000000000001,1.000000000001,1.000000000001,1.0,0.6666666666666667,0.7,0.8966418858198301
105,20,40,50,20,2295.884622300161,4443.983058994864,5541.412730302787,1.000000000001,1.000000000001,1.000000000001,1.0,0.6666666666666667,0.6666666666666666,0.8966418858198301
106,20,40,50,19,2295.884622300161,4443.983058994864,5541.412730302787,1.000000000001,1.000000000001,1.000000000001,1.0,0.6666666666666667,0.6333333333333333,0.8966418858198301
107,20,40,50,18,2295.884622300161,4443.983058994864,5541.412730302787,1.000000000001,1.000000000001,1.000000000001,1.0,0.6666666666666667,0.6,0.8966418858198301
108,20,40,50,17,2295.884622300161,4443.983058994864,5541.412730302787,1.000000000001,1.000000000001,1.000000000001,1.0,0.6666666666666667,0.5666666666666667,0.8966418858198301
109,20,40,50,16,2295.884622300161,4443.983058994864,5541.412730302787,1.000000000001,1.000000000001,1.000000000001,1.0,0.6666666666666667,0.5333333333333333,0.8966418858198301
110,20,40,50,15,2295.884622300161,4443.983058994864,5541.412730302787,1.000000000001,1.000000000001,1.000000000001,1.0,0.6666666666666667,0.5,0.8966418858198301
111,20,40,50,14,2295.884622300161,4443.983058994864,5541.412730302787,1.000000000001,1.000000000001,1.000000000001,1.0,0.6666666666666667,0.4666666666666667,0.8966418858198301
112,20,40,50,13,2295.884622300161,4443.983058994864,5541.412730302787,1.000000000001,1.000000000001,1.000000000001,1.0,0.6666666666666667,0.43333333333333335,0.8966418858198301
113,20,40,50,12,2295.884622300161,4443.983058994864,5541.412730302787,1.000000000001,1.000000000001,1.000000000001,1.0,0.6666666666666667,0.4,0.8966418858198301
114,20,40,50,11,2295.884622300161,4443.983058994864,5541.412730302787,1.000000000001,1.000000000001,1.000000000001,1.0,0.6666666666666667,0.36666666666666664,0.8966418858198301
115,20,40,50,10,2295.884622300161,4443.983058994864,5541.412730302787,1.000000000001,1.000000000001,1.000000000001,1.0,0.6666666666666667,0.3333333333333333,0.8966418858198301
116,20,40,50,9,2295.884622300161,4443.983058994864,5541.412730302787,1.000000000001,1.000000000001,1.000000000001,1.0,0.6666666666666667,0.3,0.8966418858198301
117,20,40,50,8,2295.884622300161,4443.983058994864,5541.412730302787,1.000000000001,1.000000000001,1.000000000001,1.0,0.6666666666666667,0.26666666666666666,0.8966418858198301
118,20,40,50,7,2295.884622300161,4443.983058994864,5541.412730302787,1.000000000001,1.000000000001,1.000000000001,1.0,0.6666666666666667,0.23333333333333334,0.8966418858198301
119,20,40,50,6,2295.884622300161,4443.983058994864,5541.412730302787,1.000000000001,1.000000000001,1.000000000001,1.0,0.6666666666666667,0.2,0.8966418858198301
120,20,40,50,5,2295.884622300161,4443.983058994864,5541.412730302787,1.000000000001,1.000000000001,1.000000000001,1.0,0.6666666666666667,0.16666666666666666,0.8966418858198301
121,20,40,50,4,2295.884622300161,4443.983058994864,5541.412730302787,1.000000000001,1.000000000001,1.000000000001,1.0,0.6666666666666667,0.13333333333333333,0.8966418858198301
122,20,40,50,3,2295.884622300161,4443.983058994864,5541.412730302787,1.000000000001,1.000000000001,1.000000000001,1.0,0.6666666666666667,0.1,0.8966418858198301
