Task,Model,DisplayName,ArchitectureNote,R2,ARE(%),n_test,Hyperparams,protocol,fold_id,train_seed,outer_repeat_id,split_seed,replicate_id,is_canonical_replicate,canonical_replicate_rule
forward,MLP,MLP,,0.9995414358178331,0.904975122659511,44,"hidden=(32, 32), alpha=0.0001",random_interp,1,72,4,1004,random_interp|fold=1|train_seed=72|outer_repeat_id=4,0,first_train_seed_first_outer_repeat
forward,GRNN,GRNN,,0.9895113382659932,4.096676272369259,44,sigma=0.1,random_interp,1,72,4,1004,random_interp|fold=1|train_seed=72|outer_repeat_id=4,0,first_train_seed_first_outer_repeat
forward,KAN,KAN,forward spline/grid KAN,0.9999330043792725,0.29060184955596924,44,"hidden=16, lr=0.01, wd=1e-05",random_interp,1,72,4,1004,random_interp|fold=1|train_seed=72|outer_repeat_id=4,0,first_train_seed_first_outer_repeat
forward,MLP,MLP,,0.9989037608919111,1.4594911222188356,44,"hidden=(32, 16), alpha=1e-05",random_interp,1,82,4,1004,random_interp|fold=1|train_seed=82|outer_repeat_id=4,0,first_train_seed_first_outer_repeat
forward,GRNN,GRNN,,0.9895113382659932,4.096676272369259,44,sigma=0.1,random_interp,1,82,4,1004,random_interp|fold=1|train_seed=82|outer_repeat_id=4,0,first_train_seed_first_outer_repeat
forward,KAN,KAN,forward spline/grid KAN,0.9999714493751526,0.20197764039039612,44,"hidden=32, lr=0.01, wd=1e-05",random_interp,1,82,4,1004,random_interp|fold=1|train_seed=82|outer_repeat_id=4,0,first_train_seed_first_outer_repeat
forward,MLP,MLP,,0.9988900854669207,1.4752988637840005,44,"hidden=(32, 16), alpha=0.0001",random_interp,1,42,5,1005,random_interp|fold=1|train_seed=42|outer_repeat_id=5,0,first_train_seed_first_outer_repeat
forward,GRNN,GRNN,,0.9950131457587056,3.0922025929495702,44,sigma=0.1,random_interp,1,42,5,1005,random_interp|fold=1|train_seed=42|outer_repeat_id=5,0,first_train_seed_first_outer_repeat
forward,KAN,KAN,forward spline/grid KAN,0.9999637603759766,0.21443986892700195,44,"hidden=32, lr=0.01, wd=1e-05",random_interp,1,42,5,1005,random_interp|fold=1|train_seed=42|outer_repeat_id=5,0,first_train_seed_first_outer_repeat
forward,MLP,MLP,,0.9997785486434579,0.510866745651552,44,"hidden=(32,), alpha=0.001",random_interp,1,52,5,1005,random_interp|fold=1|train_seed=52|outer_repeat_id=5,0,first_train_seed_first_outer_repeat
forward,GRNN,GRNN,,0.9950131457587056,3.0922025929495702,44,sigma=0.1,random_interp,1,52,5,1005,random_interp|fold=1|train_seed=52|outer_repeat_id=5,0,first_train_seed_first_outer_repeat
forward,KAN,KAN,forward spline/grid KAN,0.9999706149101257,0.17803144454956055,44,"hidden=32, lr=0.01, wd=0.0001",random_interp,1,52,5,1005,random_interp|fold=1|train_seed=52|outer_repeat_id=5,0,first_train_seed_first_outer_repeat
forward,MLP,MLP,,0.9997043037650591,0.6721676570115781,44,"hidden=(32, 32), alpha=0.001",random_interp,1,62,5,1005,random_interp|fold=1|train_seed=62|outer_repeat_id=5,0,first_train_seed_first_outer_repeat
forward,GRNN,GRNN,,0.9950131457587056,3.0922025929495702,44,sigma=0.1,random_interp,1,62,5,1005,random_interp|fold=1|train_seed=62|outer_repeat_id=5,0,first_train_seed_first_outer_repeat
forward,KAN,KAN,forward spline/grid KAN,0.9999672174453735,0.17276351153850555,44,"hidden=32, lr=0.01, wd=1e-05",random_interp,1,62,5,1005,random_interp|fold=1|train_seed=62|outer_repeat_id=5,0,first_train_seed_first_outer_repeat
forward,MLP,MLP,,0.9993653202302656,1.080444994929876,44,"hidden=(32, 16), alpha=0.001",random_interp,1,72,5,1005,random_interp|fold=1|train_seed=72|outer_repeat_id=5,0,first_train_seed_first_outer_repeat
forward,GRNN,GRNN,,0.9950131457587056,3.0922025929495702,44,sigma=0.1,random_interp,1,72,5,1005,random_interp|fold=1|train_seed=72|outer_repeat_id=5,0,first_train_seed_first_outer_repeat
forward,KAN,KAN,forward spline/grid KAN,0.9999565482139587,0.19925054907798767,44,"hidden=32, lr=0.01, wd=1e-05",random_interp,1,72,5,1005,random_interp|fold=1|train_seed=72|outer_repeat_id=5,0,first_train_seed_first_outer_repeat
forward,MLP,MLP,,0.9994125406745069,1.050044496800535,44,"hidden=(32, 16), alpha=1e-06",random_interp,1,82,5,1005,random_interp|fold=1|train_seed=82|outer_repeat_id=5,0,first_train_seed_first_outer_repeat
forward,GRNN,GRNN,,0.9950131457587056,3.0922025929495702,44,sigma=0.1,random_interp,1,82,5,1005,random_interp|fold=1|train_seed=82|outer_repeat_id=5,0,first_train_seed_first_outer_repeat
forward,KAN,KAN,forward spline/grid KAN,0.9999640583992004,0.18689733743667603,44,"hidden=32, lr=0.01, wd=0.0001",random_interp,1,82,5,1005,random_interp|fold=1|train_seed=82|outer_repeat_id=5,0,first_train_seed_first_outer_repeat
